16,all,Q5_1,    33.128,     97.55
17,all,Q5_1,    34.614,    97.417
18,all,Q5_1,    27.116,    97.417

0,all,Q4_1,    110.99,    95.604
1,all,Q4_1,     97.95,    95.563
2,all,Q4_1,    84.105,    95.531
3,all,Q4_1,    69.898,    95.418
4,all,Q4_1,    73.359,    95.324
5,all,Q4_1,    71.558,    95.415
6,all,Q4_1,     69.99,    95.379
7,all,Q4_1,    73.138,    95.397
8,all,Q4_1,    73.514,    95.357
9,all,Q4_1,    71.753,    95.429
10,all,Q4_1,    72.594,    95.366
11,all,Q4_1,    64.662,    95.407
12,all,Q4_1,    71.314,    95.398
13,all,Q4_1,    60.592,    95.341
14,all,Q4_1,    59.777,     95.37
15,all,Q4_1,    51.835,    95.357
16,all,Q4_1,    45.384,    95.342
17,all,Q4_1,    47.378,    95.334
18,all,Q4_1,    36.467,    95.348


19,all,Q8_0,    8.9919,    94.347
19,all,bnb8,39.2221, took    96.4547s
10,all,Q8_0,      42.3,    94.787
10,all,bnb8,111.0247, took    96.6826s

19,all,Q4_1,    18.577,    94.942
19,all,bnbFP4,26.5289, took    95.2364s
19,all,bnbNF4,21.0279, took    95.2020s
10,all,Q4_1,    72.594,    95.366
10,all,bnbFP4,94.8578, took    95.3429s
10,all,bnbNF4,86.4401, took    95.4012s

0,all,Q2_K*,    652.65,    96.649
1,all,Q2_K*,    315.61,    95.585
2,all,Q2_K*,    252.35,    95.563
3,all,Q2_K*,    173.61,    95.499
4,all,Q2_K*,    173.78,    95.439
5,all,Q2_K*,    167.14,    95.456
6,all,Q2_K*,    171.26,    95.503
7,all,Q2_K*,    187.25,    95.541
8,all,Q2_K*,    176.22,     95.54
9,all,Q2_K*,    192.61,    95.459
10,all,Q2_K*,    165.18,    95.541
11,all,Q2_K*,    162.11,    95.532
12,all,Q2_K*,    139.03,    95.554
13,all,Q2_K*,    144.57,    95.538
14,all,Q2_K*,    131.79,    95.555
15,all,Q2_K*,    129.31,     95.54
16,all,Q2_K*,    130.86,     95.57
17,all,Q2_K*,    147.76,    95.446
18,all,Q2_K*,    204.03,      95.4
19,all,Q2_K*,    66.051,    94.836
20,all,Q2_K*,     61.56,    94.924
21,all,Q2_K*,     66.44,    94.819
22,all,Q2_K*,    65.479,    94.851
23,all,Q2_K*,    57.911,    95.012
24,all,Q2_K*,    55.281,    94.948
25,all,Q2_K*,    53.874,    94.879
26,all,Q2_K*,     50.33,    94.833
27,all,Q2_K*,    51.741,    94.752
28,all,Q2_K*,    52.947,    94.756
29,all,Q2_K*,    51.009,    94.675
30,all,Q2_K*,    49.979,    94.704
31,all,Q2_K*,    53.374,    94.751
32,all,Q2_K*,    51.676,    94.764
33,all,Q2_K*,    51.304,    95.091
34,all,Q2_K*,    47.748,    94.936

35,all,Q2_K*,    44.308,    94.866
36,all,Q2_K*,    43.085,     94.83
37,all,Q2_K*,    37.062,    94.785
38,all,Q2_K*,    37.229,    94.836
39,all,Q2_K*,     36.87,    95.006
40,all,Q2_K*,    42.524,    95.047
41,all,Q2_K*,    45.209,    95.186
42,all,Q2_K*,    53.958,    94.818
43,all,Q2_K*,    57.444,     94.66
44,all,Q2_K*,    68.677,     94.74
45,all,Q2_K*,    70.569,    95.054

46,all,Q2_K*,     93.89,     95.09
47,all,Q2_K*,    97.773,     95.13
48,all,Q2_K*,    115.31,    95.118
49,all,Q2_K*,    156.84,    95.007
50,all,Q2_K*,    172.19,    94.909

51,all,Q2_K*,    236.59,    94.882
52,all,Q2_K*,    223.32,    94.753
53,all,Q2_K*,    355.65,    94.793

54,all,Q2_K*,    322.56,    94.879
55,all,Q2_K*,    62.069,    94.888
56,all,Q2_K*,    74.913,    94.764
0,all,Q3_K_S*,    331.73,    96.317
1,all,Q3_K_S*,    168.66,    96.401
2,all,Q3_K_S*,    155.94,     96.39
3,all,Q3_K_S*,    113.89,    96.353
4,all,Q3_K_S*,    123.71,    96.365
5,all,Q3_K_S*,    105.31,    96.321
6,all,Q3_K_S*,    99.927,    96.558
7,all,Q3_K_S*,    112.25,    96.657
8,all,Q3_K_S*,    104.67,    96.617
9,all,Q3_K_S*,    103.18,    96.677
10,all,Q3_K_S*,    110.23,    96.576
11,all,Q3_K_S*,    97.697,    96.877
12,all,Q3_K_S*,    99.562,    96.657
13,all,Q3_K_S*,    93.597,    96.518
14,all,Q3_K_S*,    88.855,    96.693
15,all,Q3_K_S*,    72.874,    96.617
16,all,Q3_K_S*,    69.755,    96.627
17,all,Q3_K_S*,    71.642,    96.689
18,all,Q3_K_S*,     64.07,    96.586
19,all,Q3_K_S*,    32.293,    95.398

20,all,Q3_K_S*,    27.637,    95.541
21,all,Q3_K_S*,    29.931,    95.462
22,all,Q3_K_S*,    29.641,    95.345
23,all,Q3_K_S*,    22.168,    95.468
24,all,Q3_K_S*,    25.752,    95.391
25,all,Q3_K_S*,    20.823,    95.467
26,all,Q3_K_S*,    17.519,    95.493
27,all,Q3_K_S*,    17.471,    95.433
28,all,Q3_K_S*,    17.565,    95.452
29,all,Q3_K_S*,    16.025,    95.493
30,all,Q3_K_S*,    15.292,    95.439
31,all,Q3_K_S*,    15.007,    95.451

32,all,Q3_K_S*,    16.677,    95.535
33,all,Q3_K_S*,     15.49,    95.388
34,all,Q3_K_S*,    13.118,    95.428
35,all,Q3_K_S*,    14.165,    95.464
36,all,Q3_K_S*,    14.435,    95.475
37,all,Q3_K_S*,    10.838,    95.527
38,all,Q3_K_S*,    11.213,    95.339
39,all,Q3_K_S*,    10.457,    95.171
40,all,Q3_K_S*,    12.249,    95.231
41,all,Q3_K_S*,    12.288,    95.221
42,all,Q3_K_S*,    15.131,    95.238
43,all,Q3_K_S*,    15.065,    95.201
44,all,Q3_K_S*,    19.369,    95.205

45,all,Q3_K_S*,    18.907,    95.238
46,all,Q3_K_S*,     24.86,    95.229
47,all,Q3_K_S*,    26.381,    95.104
48,all,Q3_K_S*,    30.304,    95.168
49,all,Q3_K_S*,    39.521,    95.169
50,all,Q3_K_S*,    42.105,    95.163
51,all,Q3_K_S*,    64.784,    95.164
52,all,Q3_K_S*,    55.817,    95.207
53,all,Q3_K_S*,    119.31,    95.123
54,all,Q3_K_S*,    92.537,    95.068
55,all,Q3_K_S*,    19.676,    95.243
56,all,Q3_K_S*,     19.45,    95.453
0,all,Q4_0*,    183.73,    95.377
1,all,Q4_0*,    120.78,    95.491
2,all,Q4_0*,    100.11,    95.597
3,all,Q4_0*,    76.786,    95.629
4,all,Q4_0*,    85.789,    95.526
5,all,Q4_0*,    77.101,    95.526

6,all,Q4_0*,    74.507,    95.595
7,all,Q4_0*,    76.562,    95.665
8,all,Q4_0*,    74.278,    95.625
9,all,Q4_0*,    76.201,    95.471
10,all,Q4_0*,    85.732,    95.372
11,all,Q4_0*,    69.333,    95.461
12,all,Q4_0*,    77.444,    95.338
13,all,Q4_0*,    59.563,     95.46
14,all,Q4_0*,    66.275,    95.592
15,all,Q4_0*,    48.859,    95.647
16,all,Q4_0*,    51.315,    95.624
17,all,Q4_0*,    47.402,    95.746
18,all,Q4_0*,    40.205,    95.759
19,all,Q4_0*,    19.431,    94.996
20,all,Q4_0*,     17.25,    95.092
21,all,Q4_0*,     16.81,     95.18
22,all,Q4_0*,    12.997,    95.164
23,all,Q4_0*,    11.361,    95.128
24,all,Q4_0*,    10.041,    95.168
25,all,Q4_0*,    8.8609,    95.117
26,all,Q4_0*,    7.5343,    95.027
27,all,Q4_0*,    7.0036,    94.808
28,all,Q4_0*,     7.332,    94.863
29,all,Q4_0*,    6.8766,    94.988
30,all,Q4_0*,     6.393,    95.095
31,all,Q4_0*,    6.4637,    94.989
32,all,Q4_0*,    6.6303,    95.107
33,all,Q4_0*,    6.0728,    94.991
34,all,Q4_0*,    5.6917,     95.04
35,all,Q4_0*,    6.6542,    95.064
36,all,Q4_0*,    5.4965,    95.037
37,all,Q4_0*,    4.5935,    95.036
38,all,Q4_0*,    4.4639,     95.12
39,all,Q4_0*,    4.8668,    95.031
40,all,Q4_0*,    5.1563,    94.966
41,all,Q4_0*,    5.0353,     95.16
42,all,Q4_0*,    5.8143,    95.077
43,all,Q4_0*,    5.9369,    95.017
44,all,Q4_0*,    7.3212,    95.039
45,all,Q4_0*,    7.1152,    95.161
46,all,Q4_0*,    9.0277,     95.05
47,all,Q4_0*,    8.5255,    95.096
48,all,Q4_0*,    9.5819,    94.992
49,all,Q4_0*,     13.77,    95.134
50,all,Q4_0*,    15.393,    95.064
51,all,Q4_0*,    20.733,    95.036
52,all,Q4_0*,     20.07,    94.991
53,all,Q4_0*,    44.167,    95.029
54,all,Q4_0*,    27.048,    95.155
55,all,Q4_0*,    5.7932,    95.008
56,all,Q4_0*,    3.9013,    94.972
0,all,Q4_1*,    110.96,    95.596
1,all,Q4_1*,    95.388,    95.539

2,all,Q4_1*,    82.944,    95.599
3,all,Q4_1*,    70.468,    95.634
4,all,Q4_1*,    73.093,    95.618
5,all,Q4_1*,    70.572,    95.586
6,all,Q4_1*,    71.033,    95.659
7,all,Q4_1*,    72.548,    95.577
8,all,Q4_1*,    72.145,    95.612
9,all,Q4_1*,    71.266,    95.596
10,all,Q4_1*,    73.166,    95.654
11,all,Q4_1*,    65.347,    95.551
12,all,Q4_1*,    71.348,    95.592
13,all,Q4_1*,    60.293,    95.582
14,all,Q4_1*,    58.976,    95.627
15,all,Q4_1*,    51.816,    95.775
16,all,Q4_1*,    45.695,    95.611
17,all,Q4_1*,    46.264,    95.701
18,all,Q4_1*,    37.402,    95.652
19,all,Q4_1*,    18.433,    95.135
20,all,Q4_1*,    14.848,    94.931
21,all,Q4_1*,    14.082,    94.803
22,all,Q4_1*,    11.452,    94.733
23,all,Q4_1*,    9.4342,    94.882
24,all,Q4_1*,    8.4443,    94.963
25,all,Q4_1*,    7.6724,     94.77
26,all,Q4_1*,    6.2983,    94.957
27,all,Q4_1*,    6.4663,     95.06
28,all,Q4_1*,    6.7486,    94.933
29,all,Q4_1*,    5.8389,    94.833
30,all,Q4_1*,    5.6006,    94.953
31,all,Q4_1*,    5.3576,    94.848
32,all,Q4_1*,    5.4531,    94.887
33,all,Q4_1*,    5.4415,    94.842
34,all,Q4_1*,    4.8169,    94.923
35,all,Q4_1*,    4.7979,    94.843
36,all,Q4_1*,    4.6457,    94.991
37,all,Q4_1*,    4.0852,     95.12
