layer, block, cast, prune, loss, average full stack time
19-20,linear,Q5_1,0,    18.144,   0.94236
19-21,linear,Q5_1,0,    19.315,   0.94524
19-22,linear,Q5_1,0,    20.353,   0.95728
19-23,linear,Q5_1,0,    21.087,   0.97595
19-24,linear,Q5_1,0,    21.952,   0.98349
19-25,linear,Q5_1,0,    22.678,    1.0259
19-26,linear,Q5_1,0,     23.27,    1.0087
19-27,linear,Q5_1,0,    24.026,   0.99887
19-28,linear,Q5_1,0,    24.765,   0.99885
19-29,linear,Q5_1,0,    25.492,    1.0158
19-30,linear,Q5_1,0,    26.194,    1.0285
19-31,linear,Q5_1,0,    26.934,    1.0613
19-32,linear,Q5_1,0,    27.611,    1.0629
19-33,linear,Q5_1,0,    28.269,      1.09
19-34,linear,Q5_1,0,    28.878,    1.0731
19-35,linear,Q5_1,0,    29.483,    1.0975
19-36,linear,Q5_1,0,    30.093,    1.0702
19-37,linear,Q5_1,0,    30.542,    1.0707
19-38,linear,Q5_1,0,    31.036,    1.0804
19-39,linear,Q5_1,0,    31.579,    1.0942
19-40,linear,Q5_1,0,    32.125,    1.1228
19-41,linear,Q5_1,0,    32.685,    1.1088
19-42,linear,Q5_1,0,    33.415,    1.1589
19-43,linear,Q5_1,0,    34.151,    1.1175
19-44,linear,Q5_1,0,    35.075,    1.1312
19-45,linear,Q5_1,0,    36.057,    1.1332
19-46,linear,Q5_1,0,    37.367,    1.1406
19-47,linear,Q5_1,0,    38.679,    1.1551
19-48,linear,Q5_1,0,    40.065,     1.169
19-49,linear,Q5_1,0,    42.195,    1.1607
19-50,linear,Q5_1,0,    44.816,    1.1747
19-51,linear,Q5_1,0,    48.327,    1.2071
19-52,linear,Q5_1,0,    51.879,    1.2004
19-53,linear,Q5_1,0,    56.258,    1.1986
19-54,linear,Q5_1,0,    61.296,    1.2082
19-55,linear,Q5_1,0,    61.954,    1.2096
19-56,linear,Q5_1,0,    62.001,    1.2567



19-19,linear,Q8_0,0,    13.275,   0.96417
19-20,linear,Q8_0,0,    13.684,   0.92866
19-21,linear,Q8_0,0,    13.785,   0.95663
19-22,linear,Q8_0,0,    13.824,   0.99381
19-23,linear,Q8_0,0,    13.977,   0.93678
19-24,linear,Q8_0,0,    13.951,   0.96647
19-25,linear,Q8_0,0,    14.051,   0.93942
19-26,linear,Q8_0,0,    14.074,   0.94961
19-27,linear,Q8_0,0,    14.092,   0.94628
19-28,linear,Q8_0,0,    14.118,   0.95061
19-29,linear,Q8_0,0,    14.147,    0.9535
19-30,linear,Q8_0,0,    14.166,    0.9684
19-31,linear,Q8_0,0,    14.176,   0.96633
19-32,linear,Q8_0,0,    14.208,   0.94384
19-33,linear,Q8_0,0,    14.225,   0.95641
19-34,linear,Q8_0,0,    14.241,   0.93973
19-35,linear,Q8_0,0,    14.263,   0.93191
19-36,linear,Q8_0,0,    14.275,   0.93678
19-37,linear,Q8_0,0,    14.297,   0.93642
19-38,linear,Q8_0,0,    14.311,    0.9422
19-39,linear,Q8_0,0,    14.324,   0.93789
19-40,linear,Q8_0,0,    14.334,    0.9405
19-41,linear,Q8_0,0,    14.359,   0.93734
19-42,linear,Q8_0,0,    14.378,   0.93921
19-43,linear,Q8_0,0,    14.404,   0.93957
19-44,linear,Q8_0,0,    14.429,   0.94064
19-45,linear,Q8_0,0,    14.468,   0.94445
19-46,linear,Q8_0,0,    14.505,   0.94129
19-47,linear,Q8_0,0,    14.535,   0.94383
19-48,linear,Q8_0,0,    14.569,   0.94718
19-49,linear,Q8_0,0,     14.63,   0.94347
19-50,linear,Q8_0,0,    14.689,   0.94371
19-51,linear,Q8_0,0,    14.768,   0.94969
19-52,linear,Q8_0,0,    14.843,   0.94776
19-53,linear,Q8_0,0,    14.958,   0.96024
19-54,linear,Q8_0,0,    15.082,   0.94929
19-55,linear,Q8_0,0,    15.093,   0.94785
19-56,linear,Q8_0,0,    15.104,   0.94376
